mode_id,lens_name,alpha,tau,seed,trial,mismatch_tv,idem_tv,macro_drift_tv,delta_tv,K,m,N,lam,gamma
FM1_macro_preserved_micro_funnel,std,,1,1,30,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,31,0.8999999999999996,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,32,0.8999999999999998,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,33,0.8999999999999998,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,34,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,35,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,36,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,37,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,38,0.8999999999999997,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,39,0.9,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,40,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,41,0.9,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,42,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,43,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,44,0.8999999999999998,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,45,0.8999999999999997,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,1,46,0.8999999999999998,,,,6,10,60,0.2,0.7
