seed,Nbin,s,t,delta_route,delta_closure_idem,delta_iter,mean0,var0
90,401,0.2,0.26,0.08530038806960988,3.27981548577062e-13,0.12900756911149563,0.2999908284924529,0.04999500172533036
90,401,0.2,0.28,0.09500565730362423,5.396950112290452e-13,0.14033091160274613,0.2999908284924529,0.04999500172533036
90,401,0.2,0.3,0.10454705775659397,8.886076214588944e-13,0.15166436912115308,0.2999908284924529,0.04999500172533036
90,401,0.2,0.32,0.11382604818879477,1.859357638559281e-12,0.16296482054954037,0.2999908284924529,0.04999500172533036
90,401,0.2,0.34,0.12347530230634439,4.6389725014920474e-12,0.1741900615449563,0.2999908284924529,0.04999500172533036
90,401,0.2,0.36,0.13429564916171252,1.1713694108379715e-11,0.18529115467789906,0.2999908284924529,0.04999500172533036
90,401,0.2,0.38,0.14246328440431924,2.855832253621446e-11,0.1962101353445886,0.2999908284924529,0.04999500172533036
90,401,0.2,0.4,0.15730453760892427,6.67661773036312e-11,0.20693542384016975,0.2999908284924529,0.04999500172533036
90,401,0.2,0.42,0.16350867846708902,1.700029006457271e-16,0.21739673071650475,0.2999908284924529,0.04999500172533036
90,401,0.2,0.44,0.17548322802321087,1.9961517248173744e-16,0.22759714657232438,0.2999908284924529,0.04999500172533036
90,401,0.2,0.46,0.18555443641428793,1.145595120502496e-16,0.23747213893178465,0.2999908284924529,0.04999500172533036
90,401,0.2,0.48,0.20131792231834555,1.4261324326331204e-16,0.247019590629696,0.2999908284924529,0.04999500172533036
90,401,0.2,0.5,0.20996782627181665,2.569017047704403e-16,0.25622114103923543,0.2999908284924529,0.04999500172533036
90,401,0.2,0.52,0.22414082024904966,1.1867948030569453e-16,0.2650560733441741,0.2999908284924529,0.04999500172533036
90,401,0.2,0.54,0.23669790265100082,3.1847083564046086e-16,0.2734977149075516,0.2999908284924529,0.04999500172533036
90,401,0.2,0.56,0.24732564822143033,4.452005170768603e-16,0.2815589901446346,0.2999908284924529,0.04999500172533036
90,401,0.2,0.58,0.2589657253219373,1.1152916697815263e-15,0.05253801908393847,0.2999908284924529,0.04999500172533036
90,401,0.2,0.6,0.2712678427001526,2.527112633737838e-15,0.059607922282371904,0.2999908284924529,0.04999500172533036
90,401,0.2,0.62,0.2822221184970637,5.1504482102837645e-15,0.06684962300703559,0.2999908284924529,0.04999500172533036
90,401,0.2,0.64,0.29479405630093597,9.959101685691474e-15,0.0741955697930887,0.2999908284924529,0.04999500172533036
90,401,0.2,0.66,0.3096494397120773,1.96411897163129e-14,0.08157949354551552,0.2999908284924529,0.04999500172533036
90,401,0.2,0.68,0.31734965468658377,3.573318941088588e-14,0.08896967997637195,0.2999908284924529,0.04999500172533036
90,401,0.2,0.7000000000000001,0.32685347488245586,5.4638856373384614e-14,0.09633840778226083,0.2999908284924529,0.04999500172533036
90,401,0.2,0.72,0.3419618812720006,5.4601695343922674e-14,0.10366063695959249,0.2999908284924529,0.04999500172533036
