seed,N,nu,dt,tmax,sigma,t,mismatch_l2
60,128,0.1,0.002,1.0,0.19634954084936207,0.06,0.002382726076120662
60,128,0.1,0.002,1.0,0.19634954084936207,0.08,0.0030524821367413405
60,128,0.1,0.002,1.0,0.19634954084936207,0.1,0.0036756831145259784
60,128,0.1,0.002,1.0,0.19634954084936207,0.12,0.0042593664092548745
60,128,0.1,0.002,1.0,0.19634954084936207,0.14,0.004809380270832165
60,128,0.1,0.002,1.0,0.19634954084936207,0.16,0.005330586284722364
60,128,0.1,0.002,1.0,0.19634954084936207,0.18,0.005827021467395385
60,128,0.1,0.002,1.0,0.19634954084936207,0.2,0.006302029705259071
60,128,0.1,0.002,1.0,0.19634954084936207,0.22,0.006758369648125123
60,128,0.1,0.002,1.0,0.19634954084936207,0.24,0.007198304286548526
60,128,0.1,0.002,1.0,0.19634954084936207,0.26,0.007623676081941329
60,128,0.1,0.002,1.0,0.19634954084936207,0.28,0.008035970529646797
60,128,0.1,0.002,1.0,0.19634954084936207,0.3,0.008436370314329904
60,128,0.1,0.002,1.0,0.19634954084936207,0.32,0.00882580169068872
60,128,0.1,0.002,1.0,0.19634954084936207,0.34,0.009204974337922575
60,128,0.1,0.002,1.0,0.19634954084936207,0.36,0.009574415655304966
60,128,0.1,0.002,1.0,0.19634954084936207,0.38,0.009934500260552726
60,128,0.1,0.002,1.0,0.19634954084936207,0.4,0.010285475301813103
60,128,0.1,0.002,1.0,0.19634954084936207,0.42,0.01062748208285161
60,128,0.1,0.002,1.0,0.19634954084936207,0.44,0.010960574418304494
60,128,0.1,0.002,1.0,0.19634954084936207,0.46,0.011284734073624604
60,128,0.1,0.002,1.0,0.19634954084936207,0.48,0.011599883596849152
60,128,0.1,0.002,1.0,0.19634954084936207,0.5,0.011905896812505914
60,128,0.1,0.002,1.0,0.19634954084936207,0.52,0.012202607219115244
60,128,0.1,0.002,1.0,0.19634954084936207,0.54,0.012489814509018534
60,128,0.1,0.002,1.0,0.19634954084936207,0.56,0.01276728941155421
60,128,0.1,0.002,1.0,0.19634954084936207,0.58,0.013034777047299656
60,128,0.1,0.002,1.0,0.19634954084936207,0.6,0.013291998971900278
60,128,0.1,0.002,1.0,0.19634954084936207,0.62,0.01353865408288145
60,128,0.1,0.002,1.0,0.19634954084936207,0.64,0.013774418561841218
60,128,0.1,0.002,1.0,0.19634954084936207,0.66,0.013998945027689185
60,128,0.1,0.002,1.0,0.19634954084936207,0.68,0.014211861084234452
60,128,0.1,0.002,1.0,0.19634954084936207,0.7000000000000001,0.01441276745748004
60,128,0.1,0.002,1.0,0.19634954084936207,0.72,0.014601235934387604
