case_id,seed,trial,Nx,Nv,omega,tau,delta,delta_correct,delta_wrong,delta_missing,delta_extended,u_err,e_err_missing,e_err_extended
FM1_low_omega_strong_gradient,50,37,16,3,0.0,10,0.6041888940967752,,,,,,,
FM1_low_omega_strong_gradient,50,38,16,3,0.0,2,0.32438040995755874,,,,,,,
FM1_low_omega_strong_gradient,50,38,16,3,0.0,5,0.4844379006096868,,,,,,,
FM1_low_omega_strong_gradient,50,38,16,3,0.0,10,0.6108542094085827,,,,,,,
FM1_low_omega_strong_gradient,50,39,16,3,0.0,2,0.32203904881615164,,,,,,,
FM1_low_omega_strong_gradient,50,39,16,3,0.0,5,0.4852525544893193,,,,,,,
FM1_low_omega_strong_gradient,50,39,16,3,0.0,10,0.6142465220990478,,,,,,,
FM1_low_omega_strong_gradient,50,40,16,3,0.0,2,0.3196268452469466,,,,,,,
FM1_low_omega_strong_gradient,50,40,16,3,0.0,5,0.4808642472547665,,,,,,,
FM1_low_omega_strong_gradient,50,40,16,3,0.0,10,0.619251501572486,,,,,,,
FM1_low_omega_strong_gradient,50,41,16,3,0.0,2,0.31625932558674064,,,,,,,
FM1_low_omega_strong_gradient,50,41,16,3,0.0,5,0.49241057150996714,,,,,,,
FM1_low_omega_strong_gradient,50,41,16,3,0.0,10,0.6131299967154393,,,,,,,
FM1_low_omega_strong_gradient,50,42,16,3,0.0,2,0.3177881177751902,,,,,,,
FM1_low_omega_strong_gradient,50,42,16,3,0.0,5,0.49357178982692546,,,,,,,
FM1_low_omega_strong_gradient,50,42,16,3,0.0,10,0.619267836262493,,,,,,,
FM1_low_omega_strong_gradient,50,43,16,3,0.0,2,0.3141240670535449,,,,,,,
FM1_low_omega_strong_gradient,50,43,16,3,0.0,5,0.49017923771918903,,,,,,,
FM1_low_omega_strong_gradient,50,43,16,3,0.0,10,0.618154823667439,,,,,,,
FM1_low_omega_strong_gradient,50,44,16,3,0.0,2,0.3183595096457847,,,,,,,
FM1_low_omega_strong_gradient,50,44,16,3,0.0,5,0.488125817736162,,,,,,,
FM1_low_omega_strong_gradient,50,44,16,3,0.0,10,0.6085650057820761,,,,,,,
FM1_low_omega_strong_gradient,50,45,16,3,0.0,2,0.3174401774545854,,,,,,,
