seed,M,mu0,s,t,mean_micro,y_mean,mismatch,abs_mismatch
80,20000,0.3,0.5,0.5,0.43009717349373305,0.29232373636747233,0.13777343712626072,0.13777343712626072
80,20000,0.3,0.5,0.51,0.4353701921832004,0.2931807733584649,0.14218941882473551,0.14218941882473551
80,20000,0.3,0.5,0.52,0.44075932870826273,0.294042850461453,0.14671647824680972,0.14671647824680972
80,20000,0.3,0.5,0.53,0.44626908314943464,0.29491001226782154,0.1513590708816131,0.1513590708816131
80,20000,0.3,0.5,0.54,0.45190419171276563,0.2957823038965288,0.15612188781623682,0.15612188781623682
80,20000,0.3,0.5,0.55,0.457669642908052,0.2966597710019325,0.16100987190611948,0.16100987190611948
80,20000,0.3,0.5,0.56,0.4635706950868892,0.2975424597817546,0.1660282353051346,0.1660282353051346
80,20000,0.3,0.5,0.5700000000000001,0.46961289547711393,0.2984304169851893,0.17118247849192464,0.17118247849192464
80,20000,0.3,0.5,0.58,0.47580210086616026,0.29932368992115643,0.17647841094500383,0.17647841094500383
80,20000,0.3,0.5,0.59,0.48214450010398285,0.3002223264667037,0.18192217363727914,0.18192217363727914
80,20000,0.3,0.5,0.6,0.4886466386167939,0.3011263750755604,0.18752026354123352,0.18752026354123352
80,20000,0.3,0.5,0.61,0.49531544514630715,0.30203588478684645,0.1932795603594607,0.1932795603594607
80,20000,0.3,0.5,0.62,0.5021582609559267,0.3029509052339395,0.19920735572198722,0.19920735572198722
80,20000,0.3,0.5,0.63,0.5091828717758844,0.3038714866535041,0.20531138512238029,0.20531138512238029
80,20000,0.3,0.5,0.64,0.5163975427943376,0.30479767989468554,0.21159986289965205,0.21159986289965205
80,20000,0.3,0.5,0.65,0.5238110570416235,0.3057295364284723,0.21808152061315117,0.21808152061315117
80,20000,0.3,0.5,0.66,0.5314327575610813,0.30666710835723143,0.2247656492038499,0.2247656492038499
80,20000,0.3,0.5,0.67,0.5392725938131445,0.3076104484244193,0.2316621453887252,0.2316621453887252
80,20000,0.3,0.5,0.68,0.547341172820981,0.30855961002447224,0.2387815627965088,0.2387815627965088
80,20000,0.3,0.5,0.6900000000000001,0.5556498156372969,0.3095146472128809,0.24613516842441596,0.24613516842441596
