seed,trial,Nx,Nv,omega,tau,delta
40,49,16,3,0.0,1,0.41909761479262586
40,50,16,3,0.0,1,0.39059942145780535
40,51,16,3,0.0,1,0.3753968587391414
40,52,16,3,0.0,1,0.34134556345522216
40,53,16,3,0.0,1,0.4184921835223965
40,54,16,3,0.0,1,0.3019868007012357
40,55,16,3,0.0,1,0.4689852191796795
40,56,16,3,0.0,1,0.5295014755825612
40,57,16,3,0.0,1,0.3109076381524243
40,58,16,3,0.0,1,0.43670563371882504
40,59,16,3,0.0,1,0.3804334760594057
40,60,16,3,0.0,1,0.33617302228158663
40,61,16,3,0.0,1,0.5058092147050817
40,62,16,3,0.0,1,0.4085350145711104
40,63,16,3,0.0,1,0.4289273995077126
40,64,16,3,0.0,1,0.4005154539221442
40,65,16,3,0.0,1,0.4196696658232431
40,66,16,3,0.0,1,0.5246149087184337
40,67,16,3,0.0,1,0.476413027493814
40,68,16,3,0.0,1,0.4089383009363371
40,69,16,3,0.0,1,0.3159470116005028
40,70,16,3,0.0,1,0.3497782734452568
40,71,16,3,0.0,1,0.40138170255215866
40,72,16,3,0.0,1,0.42150344162669856
40,73,16,3,0.0,1,0.48743271006121774
40,74,16,3,0.0,1,0.38559691998401924
40,75,16,3,0.0,1,0.48680157029074855
40,76,16,3,0.0,1,0.32297571053294927
40,77,16,3,0.0,1,0.345018243243421
40,78,16,3,0.0,1,0.44060675379895026
40,79,16,3,0.0,1,0.44850069804638626
40,80,16,3,0.0,1,0.3357465221807848
40,81,16,3,0.0,1,0.46179072563206613
40,82,16,3,0.0,1,0.35193178410235687
40,83,16,3,0.0,1,0.39809529096641993
40,84,16,3,0.0,1,0.3393673976249386
40,85,16,3,0.0,1,0.3462974518752536
40,86,16,3,0.0,1,0.3558251388740603
40,87,16,3,0.0,1,0.5235798481496248
40,88,16,3,0.0,1,0.41125931512643177
40,89,16,3,0.0,1,0.36596185055967567
40,90,16,3,0.0,1,0.3642268197337282
40,91,16,3,0.0,1,0.4334614085970367
40,92,16,3,0.0,1,0.4671927916680208
40,93,16,3,0.0,1,0.4560801103755887
40,94,16,3,0.0,1,0.37156613327712334
40,95,16,3,0.0,1,0.39848058707310735
40,96,16,3,0.0,1,0.5544970781343841
40,97,16,3,0.0,1,0.4482949065362386
40,98,16,3,0.0,1,0.32703357052488563
40,99,16,3,0.0,1,0.42476112763945184
40,100,16,3,0.0,1,0.3711223346138881
40,101,16,3,0.0,1,0.3119109296579355
40,102,16,3,0.0,1,0.39409858167415857
40,103,16,3,0.0,1,0.44009517873757853
40,104,16,3,0.0,1,0.37940792113491567
40,105,16,3,0.0,1,0.5293381766584337
40,106,16,3,0.0,1,0.3722115130906196
40,107,16,3,0.0,1,0.3576368527985132
40,108,16,3,0.0,1,0.4316890176812454
40,109,16,3,0.0,1,0.5959211401888099
40,110,16,3,0.0,1,0.463323267926779
40,111,16,3,0.0,1,0.45114205240324534
40,112,16,3,0.0,1,0.43959615601409086
40,113,16,3,0.0,1,0.4232285048703881
40,114,16,3,0.0,1,0.4102602013681462
40,115,16,3,0.0,1,0.457871830025112
40,116,16,3,0.0,1,0.4764408021189075
40,117,16,3,0.0,1,0.36696026064834736
40,118,16,3,0.0,1,0.3645087406899156
40,119,16,3,0.0,1,0.38672028954914733
40,120,16,3,0.0,1,0.31914392974663497
40,121,16,3,0.0,1,0.3794453181382605
40,122,16,3,0.0,1,0.459948675443155
40,123,16,3,0.0,1,0.3826844272946732
40,124,16,3,0.0,1,0.3887997133978387
40,125,16,3,0.0,1,0.5067860283624973
40,126,16,3,0.0,1,0.38814208581266774
40,127,16,3,0.0,1,0.6336073572965419
40,128,16,3,0.0,1,0.5921046839555308
